Language	Split	Size	Replacement	Model	Score
ger	1	500	with	Seq2seq	5.736
ger	1	500	with	Morfessor	27.046
ger	1	500	with	0-CRF	52.044
ger	1	500	with	1-CRF	62.394
ger	1	500	with	2-CRF	63.602
ger	1	500	with	4-CRF	63.974
ger	1	500	with	3-CRF	64.124
ger	2	500	with	Seq2seq	7.97
ger	2	500	with	Morfessor	23.764
ger	2	500	with	0-CRF	52.188
ger	2	500	with	1-CRF	62.428
ger	2	500	with	2-CRF	63.364
ger	2	500	with	4-CRF	63.464
ger	2	500	with	3-CRF	63.582
ger	3	500	with	Morfessor	27.556
ger	3	500	with	Seq2seq	44.682
ger	3	500	with	0-CRF	52.294000000000004
ger	3	500	with	4-CRF	65.096
ger	3	500	with	1-CRF	65.514
ger	3	500	with	2-CRF	65.57600000000001
ger	3	500	with	3-CRF	66.14
ger	4	500	with	Morfessor	26.304000000000002
ger	4	500	with	Seq2seq	42.114000000000004
ger	4	500	with	0-CRF	50.18
ger	4	500	with	1-CRF	64.992
ger	4	500	with	3-CRF	66.09400000000001
ger	4	500	with	2-CRF	66.182
ger	4	500	with	4-CRF	66.34
ger	5	500	with	Morfessor	25.584
ger	5	500	with	Seq2seq	46.73
ger	5	500	with	0-CRF	51.626
ger	5	500	with	1-CRF	65.44
ger	5	500	with	2-CRF	67.508
ger	5	500	with	4-CRF	67.828
ger	5	500	with	3-CRF	68.104
ger	6	500	with	Morfessor	24.552
ger	6	500	with	Seq2seq	46.548
ger	6	500	with	0-CRF	51.786
ger	6	500	with	4-CRF	65.254
ger	6	500	with	3-CRF	65.702
ger	6	500	with	2-CRF	65.80199999999999
ger	6	500	with	1-CRF	66.33
ger	7	500	with	Morfessor	29.736
ger	7	500	with	Seq2seq	45.278
ger	7	500	with	0-CRF	45.75
ger	7	500	with	4-CRF	64.628
ger	7	500	with	1-CRF	64.688
ger	7	500	with	3-CRF	64.92
ger	7	500	with	2-CRF	65.046
ger	8	500	with	Morfessor	26.228
ger	8	500	with	Seq2seq	44.608
ger	8	500	with	0-CRF	48.714
ger	8	500	with	1-CRF	61.484
ger	8	500	with	4-CRF	63.285999999999994
ger	8	500	with	2-CRF	63.502
ger	8	500	with	3-CRF	63.686
ger	9	500	with	Morfessor	23.446
ger	9	500	with	Seq2seq	42.236000000000004
ger	9	500	with	0-CRF	51.03
ger	9	500	with	1-CRF	62.019999999999996
ger	9	500	with	3-CRF	62.936
ger	9	500	with	2-CRF	63.38
ger	9	500	with	4-CRF	63.704
ger	10	500	with	Morfessor	28.476
ger	10	500	with	Seq2seq	49.89
ger	10	500	with	0-CRF	50.642
ger	10	500	with	1-CRF	64.742
ger	10	500	with	2-CRF	65.602
ger	10	500	with	3-CRF	65.88
ger	10	500	with	4-CRF	66.91199999999999
ger	11	500	with	Morfessor	24.384
ger	11	500	with	Seq2seq	42.264
ger	11	500	with	0-CRF	50.868
ger	11	500	with	1-CRF	65.622
ger	11	500	with	3-CRF	66.11
ger	11	500	with	2-CRF	66.438
ger	11	500	with	4-CRF	66.754
ger	12	500	with	Morfessor	25.714
ger	12	500	with	Seq2seq	44.326
ger	12	500	with	0-CRF	52.954
ger	12	500	with	1-CRF	66.626
ger	12	500	with	2-CRF	67.038
ger	12	500	with	4-CRF	67.102
ger	12	500	with	3-CRF	67.206
ger	13	500	with	Morfessor	27.828
ger	13	500	with	Seq2seq	45.006
ger	13	500	with	0-CRF	48.879999999999995
ger	13	500	with	1-CRF	64.61
ger	13	500	with	2-CRF	64.828
ger	13	500	with	3-CRF	65.25999999999999
ger	13	500	with	4-CRF	65.566
ger	14	500	with	Morfessor	27.695999999999998
ger	14	500	with	Seq2seq	42.142
ger	14	500	with	0-CRF	52.786
ger	14	500	with	1-CRF	66.72800000000001
ger	14	500	with	2-CRF	67.59
ger	14	500	with	3-CRF	68.03
ger	14	500	with	4-CRF	68.73
ger	15	500	with	Morfessor	25.514
ger	15	500	with	Seq2seq	41.048
ger	15	500	with	0-CRF	52.632
ger	15	500	with	1-CRF	64.374
ger	15	500	with	2-CRF	64.38
ger	15	500	with	3-CRF	64.924
ger	15	500	with	4-CRF	64.946
ger	16	500	with	Morfessor	27.1
ger	16	500	with	Seq2seq	47.504
ger	16	500	with	0-CRF	53.79
ger	16	500	with	1-CRF	66.17
ger	16	500	with	2-CRF	68.326
ger	16	500	with	4-CRF	68.838
ger	16	500	with	3-CRF	68.852
ger	17	500	with	Morfessor	23.708
ger	17	500	with	Seq2seq	45.024
ger	17	500	with	0-CRF	49.946
ger	17	500	with	1-CRF	62.324
ger	17	500	with	2-CRF	62.64
ger	17	500	with	3-CRF	62.78
ger	17	500	with	4-CRF	63.898
ger	18	500	with	Morfessor	27.292
ger	18	500	with	Seq2seq	38.524
ger	18	500	with	0-CRF	53.226
ger	18	500	with	1-CRF	62.256
ger	18	500	with	2-CRF	63.918
ger	18	500	with	3-CRF	64.122
ger	18	500	with	4-CRF	64.262
ger	19	500	with	Morfessor	27.142
ger	19	500	with	Seq2seq	44.564
ger	19	500	with	0-CRF	49.39
ger	19	500	with	1-CRF	62.668
ger	19	500	with	4-CRF	63.834
ger	19	500	with	2-CRF	64.328
ger	19	500	with	3-CRF	64.402
ger	20	500	with	Morfessor	25.483999999999998
ger	20	500	with	Seq2seq	44.37
ger	20	500	with	0-CRF	51.224
ger	20	500	with	2-CRF	62.998
ger	20	500	with	4-CRF	63.53
ger	20	500	with	3-CRF	63.652
ger	20	500	with	1-CRF	63.728
ger	21	500	with	Morfessor	27.694
ger	21	500	with	Seq2seq	46.166
ger	21	500	with	0-CRF	49.504
ger	21	500	with	1-CRF	61.264
ger	21	500	with	2-CRF	62.5
ger	21	500	with	3-CRF	63.246
ger	21	500	with	4-CRF	63.382
ger	22	500	with	Morfessor	27.37
ger	22	500	with	Seq2seq	41.896
ger	22	500	with	0-CRF	48.462
ger	22	500	with	1-CRF	61.884
ger	22	500	with	4-CRF	62.234
ger	22	500	with	2-CRF	62.422
ger	22	500	with	3-CRF	62.428
ger	23	500	with	Morfessor	27.0
ger	23	500	with	Seq2seq	47.534
ger	23	500	with	0-CRF	50.074
ger	23	500	with	1-CRF	63.124
ger	23	500	with	2-CRF	64.664
ger	23	500	with	3-CRF	65.40599999999999
ger	23	500	with	4-CRF	66.016
ger	24	500	with	Morfessor	28.264
ger	24	500	with	Seq2seq	49.988
ger	24	500	with	0-CRF	52.656
ger	24	500	with	3-CRF	64.778
ger	24	500	with	1-CRF	64.866
ger	24	500	with	2-CRF	65.318
ger	24	500	with	4-CRF	65.52
ger	25	500	with	Morfessor	24.374
ger	25	500	with	0-CRF	48.66
ger	25	500	with	Seq2seq	49.114
ger	25	500	with	1-CRF	64.504
ger	25	500	with	3-CRF	64.646
ger	25	500	with	2-CRF	64.674
ger	25	500	with	4-CRF	65.42999999999999
ger	26	500	with	Morfessor	30.09
ger	26	500	with	Seq2seq	47.73
ger	26	500	with	0-CRF	53.506
ger	26	500	with	1-CRF	66.486
ger	26	500	with	2-CRF	68.886
ger	26	500	with	3-CRF	69.664
ger	26	500	with	4-CRF	70.152
ger	27	500	with	Morfessor	26.668
ger	27	500	with	0-CRF	50.982
ger	27	500	with	Seq2seq	52.92
ger	27	500	with	1-CRF	66.104
ger	27	500	with	3-CRF	66.326
ger	27	500	with	2-CRF	66.768
ger	27	500	with	4-CRF	66.93
ger	28	500	with	Morfessor	28.532
ger	28	500	with	Seq2seq	46.076
ger	28	500	with	0-CRF	48.618
ger	28	500	with	1-CRF	64.182
ger	28	500	with	3-CRF	64.892
ger	28	500	with	2-CRF	65.084
ger	28	500	with	4-CRF	65.54599999999999
ger	29	500	with	Morfessor	26.718
ger	29	500	with	Seq2seq	40.102
ger	29	500	with	0-CRF	49.054
ger	29	500	with	1-CRF	63.33
ger	29	500	with	4-CRF	64.092
ger	29	500	with	2-CRF	64.172
ger	29	500	with	3-CRF	64.292
ger	30	500	with	Morfessor	27.482
ger	30	500	with	Seq2seq	44.306
ger	30	500	with	0-CRF	47.635999999999996
ger	30	500	with	2-CRF	59.714
ger	30	500	with	1-CRF	59.962
ger	30	500	with	3-CRF	60.232
ger	30	500	with	4-CRF	60.302
ger	31	500	with	Morfessor	28.952
ger	31	500	with	Seq2seq	39.62
ger	31	500	with	0-CRF	53.282
ger	31	500	with	1-CRF	66.408
ger	31	500	with	2-CRF	66.516
ger	31	500	with	3-CRF	67.372
ger	31	500	with	4-CRF	67.536
ger	32	500	with	Morfessor	24.82
ger	32	500	with	Seq2seq	47.702
ger	32	500	with	0-CRF	49.514
ger	32	500	with	1-CRF	61.826
ger	32	500	with	4-CRF	63.244
ger	32	500	with	3-CRF	63.416
ger	32	500	with	2-CRF	63.43
ger	33	500	with	Morfessor	30.105999999999998
ger	33	500	with	Seq2seq	45.544
ger	33	500	with	0-CRF	50.586
ger	33	500	with	1-CRF	66.06
ger	33	500	with	2-CRF	66.458
ger	33	500	with	4-CRF	66.826
ger	33	500	with	3-CRF	66.86
ger	34	500	with	Morfessor	25.32
ger	34	500	with	Seq2seq	43.33
ger	34	500	with	0-CRF	50.594
ger	34	500	with	1-CRF	63.654
ger	34	500	with	3-CRF	64.168
ger	34	500	with	2-CRF	64.816
ger	34	500	with	4-CRF	64.986
ger	35	500	with	Morfessor	27.844
ger	35	500	with	Seq2seq	40.616
ger	35	500	with	0-CRF	52.0
ger	35	500	with	1-CRF	63.64
ger	35	500	with	2-CRF	64.854
ger	35	500	with	3-CRF	64.882
ger	35	500	with	4-CRF	65.218
ger	36	500	with	Morfessor	25.092
ger	36	500	with	Seq2seq	43.184
ger	36	500	with	0-CRF	48.994
ger	36	500	with	1-CRF	60.882
ger	36	500	with	2-CRF	62.434
ger	36	500	with	3-CRF	62.452
ger	36	500	with	4-CRF	62.968
ger	37	500	with	Morfessor	25.042
ger	37	500	with	Seq2seq	45.284
ger	37	500	with	0-CRF	49.626
ger	37	500	with	1-CRF	63.074
ger	37	500	with	2-CRF	63.524
ger	37	500	with	4-CRF	63.952
ger	37	500	with	3-CRF	64.404
ger	38	500	with	Morfessor	25.982
ger	38	500	with	Seq2seq	43.876
ger	38	500	with	0-CRF	51.964
ger	38	500	with	1-CRF	67.572
ger	38	500	with	4-CRF	67.914
ger	38	500	with	2-CRF	67.996
ger	38	500	with	3-CRF	68.29
ger	39	500	with	Morfessor	24.616
ger	39	500	with	Seq2seq	36.844
ger	39	500	with	0-CRF	49.702
ger	39	500	with	1-CRF	61.898
ger	39	500	with	2-CRF	61.9
ger	39	500	with	4-CRF	62.518
ger	39	500	with	3-CRF	62.724
ger	40	500	with	Morfessor	25.718
ger	40	500	with	Seq2seq	45.262
ger	40	500	with	0-CRF	52.376
ger	40	500	with	1-CRF	64.21
ger	40	500	with	2-CRF	65.004
ger	40	500	with	3-CRF	65.218
ger	40	500	with	4-CRF	66.22800000000001
ger	41	500	with	Morfessor	27.882
ger	41	500	with	Seq2seq	47.198
ger	41	500	with	0-CRF	52.052
ger	41	500	with	1-CRF	66.404
ger	41	500	with	2-CRF	67.164
ger	41	500	with	3-CRF	67.722
ger	41	500	with	4-CRF	68.122
ger	42	500	with	Morfessor	25.304
ger	42	500	with	Seq2seq	42.102
ger	42	500	with	0-CRF	47.536
ger	42	500	with	1-CRF	61.208
ger	42	500	with	3-CRF	61.734
ger	42	500	with	2-CRF	62.44
ger	42	500	with	4-CRF	62.468
ger	43	500	with	Morfessor	26.468
ger	43	500	with	Seq2seq	47.606
ger	43	500	with	0-CRF	52.556
ger	43	500	with	1-CRF	63.422
ger	43	500	with	2-CRF	64.148
ger	43	500	with	4-CRF	64.284
ger	43	500	with	3-CRF	64.6
ger	44	500	with	Morfessor	26.73
ger	44	500	with	Seq2seq	44.052
ger	44	500	with	0-CRF	53.26
ger	44	500	with	2-CRF	67.256
ger	44	500	with	1-CRF	67.446
ger	44	500	with	4-CRF	67.62
ger	44	500	with	3-CRF	67.902
ger	45	500	with	Morfessor	24.983999999999998
ger	45	500	with	Seq2seq	42.522
ger	45	500	with	0-CRF	48.022
ger	45	500	with	1-CRF	63.14
