Language	Split	Size	Replacement	Model	Score
zul	1	4000	with	Morfessor	55.812
zul	1	4000	with	0-CRF	70.48
zul	1	4000	with	1-CRF	80.732
zul	1	4000	with	2-CRF	80.892
zul	1	4000	with	3-CRF	80.976
zul	1	4000	with	4-CRF	81.098
zul	1	4000	with	Seq2seq	83.43599999999999
zul	2	4000	with	Morfessor	56.246
zul	2	4000	with	0-CRF	71.09
zul	2	4000	with	1-CRF	81.324
zul	2	4000	with	2-CRF	81.368
zul	2	4000	with	3-CRF	81.506
zul	2	4000	with	4-CRF	81.732
zul	2	4000	with	Seq2seq	84.022
zul	3	4000	with	Morfessor	55.128
zul	3	4000	with	0-CRF	71.696
zul	3	4000	with	1-CRF	81.142
zul	3	4000	with	2-CRF	81.24
zul	3	4000	with	3-CRF	81.3
zul	3	4000	with	4-CRF	81.674
zul	3	4000	with	Seq2seq	83.288
zul	4	4000	with	Morfessor	57.056
zul	4	4000	with	0-CRF	71.51599999999999
zul	4	4000	with	1-CRF	81.774
zul	4	4000	with	3-CRF	81.776
zul	4	4000	with	2-CRF	81.898
zul	4	4000	with	4-CRF	82.03
zul	4	4000	with	Seq2seq	83.848
zul	5	4000	with	Morfessor	56.254
zul	5	4000	with	0-CRF	71.39
zul	5	4000	with	2-CRF	80.746
zul	5	4000	with	1-CRF	80.78
zul	5	4000	with	3-CRF	80.86
zul	5	4000	with	4-CRF	81.296
zul	5	4000	with	Seq2seq	83.902
zul	6	4000	with	Morfessor	56.224000000000004
zul	6	4000	with	0-CRF	70.55799999999999
zul	6	4000	with	1-CRF	80.366
zul	6	4000	with	2-CRF	80.698
zul	6	4000	with	3-CRF	80.8
zul	6	4000	with	4-CRF	80.936
zul	6	4000	with	Seq2seq	83.144
zul	7	4000	with	Morfessor	56.902
zul	7	4000	with	0-CRF	72.318
zul	7	4000	with	3-CRF	81.362
zul	7	4000	with	1-CRF	81.364
zul	7	4000	with	2-CRF	81.416
zul	7	4000	with	4-CRF	81.508
zul	7	4000	with	Seq2seq	83.828
zul	8	4000	with	Morfessor	56.648
zul	8	4000	with	0-CRF	72.01599999999999
zul	8	4000	with	1-CRF	81.652
zul	8	4000	with	3-CRF	81.732
zul	8	4000	with	2-CRF	81.84
zul	8	4000	with	4-CRF	82.134
zul	8	4000	with	Seq2seq	83.57
zul	9	4000	with	Morfessor	55.436
zul	9	4000	with	0-CRF	71.49199999999999
zul	9	4000	with	1-CRF	80.732
zul	9	4000	with	2-CRF	81.092
zul	9	4000	with	3-CRF	81.128
zul	9	4000	with	4-CRF	81.602
zul	9	4000	with	Seq2seq	83.726
zul	10	4000	with	Morfessor	55.446
zul	10	4000	with	0-CRF	70.80199999999999
zul	10	4000	with	2-CRF	80.37
zul	10	4000	with	1-CRF	80.46000000000001
zul	10	4000	with	3-CRF	80.678
zul	10	4000	with	4-CRF	81.03
zul	10	4000	with	Seq2seq	83.318
zul	11	4000	with	Morfessor	54.98
zul	11	4000	with	0-CRF	70.884
zul	11	4000	with	1-CRF	80.82000000000001
zul	11	4000	with	2-CRF	80.896
zul	11	4000	with	3-CRF	80.954
zul	11	4000	with	4-CRF	81.292
zul	11	4000	with	Seq2seq	82.80799999999999
zul	12	4000	with	Morfessor	54.846000000000004
zul	12	4000	with	0-CRF	70.638
zul	12	4000	with	3-CRF	80.89399999999999
zul	12	4000	with	1-CRF	80.98
zul	12	4000	with	2-CRF	81.038
zul	12	4000	with	4-CRF	81.254
zul	12	4000	with	Seq2seq	83.324
zul	13	4000	with	Morfessor	56.102
zul	13	4000	with	0-CRF	71.554
zul	13	4000	with	1-CRF	81.262
zul	13	4000	with	2-CRF	81.292
zul	13	4000	with	3-CRF	81.55199999999999
zul	13	4000	with	4-CRF	81.79
zul	13	4000	with	Seq2seq	83.282
zul	14	4000	with	Morfessor	56.62
zul	14	4000	with	0-CRF	71.55799999999999
zul	14	4000	with	1-CRF	81.11200000000001
zul	14	4000	with	2-CRF	81.162
zul	14	4000	with	3-CRF	81.254
zul	14	4000	with	4-CRF	81.324
zul	14	4000	with	Seq2seq	83.566
zul	15	4000	with	Morfessor	55.908
zul	15	4000	with	0-CRF	71.572
zul	15	4000	with	2-CRF	81.44
zul	15	4000	with	1-CRF	81.518
zul	15	4000	with	3-CRF	81.68
zul	15	4000	with	4-CRF	81.938
zul	15	4000	with	Seq2seq	84.528
zul	16	4000	with	Morfessor	55.494
zul	16	4000	with	0-CRF	71.19
zul	16	4000	with	2-CRF	80.718
zul	16	4000	with	1-CRF	80.842
zul	16	4000	with	3-CRF	81.25
zul	16	4000	with	4-CRF	81.478
zul	16	4000	with	Seq2seq	83.172
zul	17	4000	with	Morfessor	56.006
zul	17	4000	with	0-CRF	71.152
zul	17	4000	with	2-CRF	81.36800000000001
zul	17	4000	with	1-CRF	81.418
zul	17	4000	with	3-CRF	81.508
zul	17	4000	with	4-CRF	81.58
zul	17	4000	with	Seq2seq	83.484
zul	18	4000	with	Morfessor	55.85
zul	18	4000	with	0-CRF	71.616
zul	18	4000	with	1-CRF	81.042
zul	18	4000	with	2-CRF	81.148
zul	18	4000	with	3-CRF	81.448
zul	18	4000	with	4-CRF	81.526
zul	18	4000	with	Seq2seq	83.846
zul	19	4000	with	Morfessor	55.754
zul	19	4000	with	0-CRF	71.432
zul	19	4000	with	1-CRF	81.636
zul	19	4000	with	2-CRF	81.742
zul	19	4000	with	3-CRF	81.788
zul	19	4000	with	4-CRF	81.876
zul	19	4000	with	Seq2seq	83.81
