Language	Index	Proportion	Summary	Size	Replacement
tur	Same best model	22.0	Best model: 4-CRF	500	with
tur	Same top two model	6.0	Best top two model: 2-CRF 4-CRF	500	with
tur	Same model ranking	6.0	First ranking: Morfessor Seq2seq 0-CRF 1-CRF 3-CRF 2-CRF 4-CRF	500	with
tur	A best model	42.0	What is it: 3-CRF	500	with
tur	A best model ranking	16.0	What is it: Morfessor Seq2seq 0-CRF 1-CRF 2-CRF 4-CRF 3-CRF	500	with
tur	Same best model	34.0	Best model: 3-CRF	500	without
tur	Same top two model	10.0	Best top two model: 2-CRF 3-CRF	500	without
tur	Same model ranking	6.0	First ranking: Morfessor 0-CRF Seq2seq 1-CRF 4-CRF 2-CRF 3-CRF	500	without
tur	A best model	42.0	What is it: 2-CRF	500	without
tur	A best model ranking	20.0	What is it: Morfessor Seq2seq 0-CRF 1-CRF 2-CRF 4-CRF 3-CRF	500	without
tur	Same best model	44.0	Best model: 3-CRF	1000	with
tur	Same top two model	22.0	Best top two model: 2-CRF 3-CRF	1000	with
tur	Same model ranking	4.0	First ranking: Morfessor 0-CRF Seq2seq 4-CRF 1-CRF 2-CRF 3-CRF	1000	with
tur	A best model	44.0	What is it: 3-CRF	1000	with
tur	A best model ranking	14.0	What is it: Morfessor 0-CRF Seq2seq 1-CRF 4-CRF 3-CRF 2-CRF	1000	with
tur	Same best model	32.0	Best model: 4-CRF	1000	without
tur	Same top two model	6.0	Best top two model: 2-CRF 4-CRF	1000	without
tur	Same model ranking	4.0	First ranking: Morfessor 0-CRF 1-CRF Seq2seq 3-CRF 2-CRF 4-CRF	1000	without
tur	A best model	36.0	What is it: 3-CRF	1000	without
tur	A best model ranking	18.0	What is it: Morfessor 0-CRF Seq2seq 1-CRF 4-CRF 3-CRF 2-CRF	1000	without
tur	Same best model	16.0	Best model: 2-CRF	1500	with
tur	Same top two model	10.0	Best top two model: 3-CRF 2-CRF	1500	with
tur	Same model ranking	4.0	First ranking: Morfessor 0-CRF 1-CRF Seq2seq 4-CRF 3-CRF 2-CRF	1500	with
tur	A best model	64.0	What is it: Seq2seq	1500	with
tur	A best model ranking	16.0	What is it: Morfessor 0-CRF 1-CRF 2-CRF 3-CRF 4-CRF Seq2seq	1500	with
tur	Same best model	18.0	Best model: Seq2seq	1500	without
tur	Same top two model	4.0	Best top two model: 3-CRF Seq2seq	1500	without
tur	Same model ranking	2.0	First ranking: Morfessor 0-CRF 1-CRF 4-CRF 2-CRF 3-CRF Seq2seq	1500	without
tur	A best model	32.0	What is it: 2-CRF	1500	without
tur	A best model ranking	8.0	What is it: Morfessor 0-CRF Seq2seq 1-CRF 4-CRF 2-CRF 3-CRF	1500	without
