Language	Split	Size	Replacement	Model	Score
ru	1	4000	with	Morfessor	38.028
ru	1	4000	with	0-CRF	61.472
ru	1	4000	with	Seq2seq	75.852
ru	1	4000	with	3-CRF	76.296
ru	1	4000	with	4-CRF	76.36
ru	1	4000	with	2-CRF	76.364
ru	1	4000	with	1-CRF	76.384
ru	2	4000	with	Morfessor	38.402
ru	2	4000	with	0-CRF	61.098
ru	2	4000	with	Seq2seq	76.256
ru	2	4000	with	1-CRF	76.886
ru	2	4000	with	4-CRF	76.906
ru	2	4000	with	3-CRF	76.936
ru	2	4000	with	2-CRF	77.10600000000001
ru	3	4000	with	Morfessor	38.578
ru	3	4000	with	0-CRF	61.8
ru	3	4000	with	Seq2seq	76.572
ru	3	4000	with	1-CRF	77.702
ru	3	4000	with	2-CRF	78.0
ru	3	4000	with	3-CRF	78.032
ru	3	4000	with	4-CRF	78.096
ru	4	4000	with	Morfessor	38.668
ru	4	4000	with	0-CRF	62.092
ru	4	4000	with	Seq2seq	76.58
ru	4	4000	with	4-CRF	77.214
ru	4	4000	with	3-CRF	77.35199999999999
ru	4	4000	with	2-CRF	77.42399999999999
ru	4	4000	with	1-CRF	77.464
ru	5	4000	with	Morfessor	39.06
ru	5	4000	with	0-CRF	61.846
ru	5	4000	with	Seq2seq	76.728
ru	5	4000	with	1-CRF	77.22
ru	5	4000	with	2-CRF	77.414
ru	5	4000	with	3-CRF	77.426
ru	5	4000	with	4-CRF	77.646
ru	6	4000	with	Morfessor	38.798
ru	6	4000	with	0-CRF	61.572
ru	6	4000	with	Seq2seq	76.402
ru	6	4000	with	3-CRF	77.086
ru	6	4000	with	1-CRF	77.092
ru	6	4000	with	2-CRF	77.098
ru	6	4000	with	4-CRF	77.31
ru	7	4000	with	Morfessor	37.892
ru	7	4000	with	0-CRF	61.38
ru	7	4000	with	Seq2seq	75.80799999999999
ru	7	4000	with	1-CRF	76.572
ru	7	4000	with	2-CRF	76.71
ru	7	4000	with	3-CRF	76.828
ru	7	4000	with	4-CRF	76.934
ru	8	4000	with	Morfessor	37.148
ru	8	4000	with	0-CRF	61.092
ru	8	4000	with	Seq2seq	76.406
ru	8	4000	with	1-CRF	76.664
ru	8	4000	with	2-CRF	76.938
ru	8	4000	with	3-CRF	77.03
ru	8	4000	with	4-CRF	77.146
ru	9	4000	with	Morfessor	38.39
ru	9	4000	with	0-CRF	61.222
ru	9	4000	with	Seq2seq	76.04599999999999
ru	9	4000	with	3-CRF	76.89
ru	9	4000	with	4-CRF	76.984
ru	9	4000	with	2-CRF	77.17999999999999
ru	9	4000	with	1-CRF	77.416
ru	10	4000	with	Morfessor	37.762
ru	10	4000	with	0-CRF	61.612
ru	10	4000	with	Seq2seq	75.85600000000001
ru	10	4000	with	1-CRF	76.37
ru	10	4000	with	2-CRF	76.488
ru	10	4000	with	4-CRF	76.582
ru	10	4000	with	3-CRF	76.616
ru	11	4000	with	Morfessor	37.092
ru	11	4000	with	0-CRF	62.038000000000004
ru	11	4000	with	Seq2seq	75.312
ru	11	4000	with	4-CRF	76.002
