Language	Split	Size	Replacement	Model	Score
fin	1	500	with	Morfessor	18.432
fin	1	500	with	Seq2seq	37.19
fin	1	500	with	0-CRF	41.172
fin	1	500	with	1-CRF	55.592
fin	1	500	with	2-CRF	55.912
fin	1	500	with	4-CRF	56.942
fin	1	500	with	3-CRF	57.03
fin	2	500	with	Morfessor	17.234
fin	2	500	with	0-CRF	39.952000000000005
fin	2	500	with	Seq2seq	43.134
fin	2	500	with	1-CRF	52.606
fin	2	500	with	2-CRF	54.906
fin	2	500	with	4-CRF	57.808
fin	2	500	with	3-CRF	57.896
fin	3	500	with	Morfessor	18.98
fin	3	500	with	0-CRF	39.784
fin	3	500	with	Seq2seq	44.434
fin	3	500	with	1-CRF	53.966
fin	3	500	with	2-CRF	54.554
fin	3	500	with	4-CRF	55.832
fin	3	500	with	3-CRF	55.962
fin	4	500	with	Morfessor	19.882
fin	4	500	with	0-CRF	43.63
fin	4	500	with	Seq2seq	46.744
fin	4	500	with	1-CRF	55.734
fin	4	500	with	2-CRF	57.622
fin	4	500	with	4-CRF	59.316
fin	4	500	with	3-CRF	59.46
fin	5	500	with	Morfessor	17.766000000000002
fin	5	500	with	Seq2seq	39.751999999999995
fin	5	500	with	0-CRF	41.572
fin	5	500	with	1-CRF	55.616
fin	5	500	with	2-CRF	57.87
fin	5	500	with	4-CRF	58.762
fin	5	500	with	3-CRF	58.83
fin	6	500	with	Morfessor	17.7
fin	6	500	with	0-CRF	39.943999999999996
fin	6	500	with	Seq2seq	44.833999999999996
fin	6	500	with	1-CRF	55.01
fin	6	500	with	2-CRF	55.812
fin	6	500	with	3-CRF	58.62
fin	6	500	with	4-CRF	58.826
fin	7	500	with	Morfessor	17.758
fin	7	500	with	0-CRF	40.894
fin	7	500	with	Seq2seq	44.588
fin	7	500	with	1-CRF	56.910000000000004
fin	7	500	with	2-CRF	59.362
fin	7	500	with	4-CRF	59.844
fin	7	500	with	3-CRF	59.948
fin	8	500	with	Morfessor	17.696
fin	8	500	with	0-CRF	39.678
fin	8	500	with	Seq2seq	42.102
fin	8	500	with	1-CRF	55.44
fin	8	500	with	2-CRF	57.556
fin	8	500	with	3-CRF	58.272
fin	8	500	with	4-CRF	58.888
fin	9	500	with	Morfessor	18.034
fin	9	500	with	0-CRF	40.008
fin	9	500	with	Seq2seq	40.512
fin	9	500	with	1-CRF	54.446000000000005
fin	9	500	with	2-CRF	56.418
fin	9	500	with	3-CRF	57.29
fin	9	500	with	4-CRF	57.562
fin	10	500	with	Morfessor	17.488
fin	10	500	with	0-CRF	41.888
fin	10	500	with	Seq2seq	42.706
fin	10	500	with	1-CRF	54.296
fin	10	500	with	2-CRF	54.714
fin	10	500	with	3-CRF	57.052
fin	10	500	with	4-CRF	57.18
fin	11	500	with	Morfessor	16.768
fin	11	500	with	Seq2seq	37.888
fin	11	500	with	0-CRF	38.778
fin	11	500	with	1-CRF	51.258
fin	11	500	with	2-CRF	54.416000000000004
fin	11	500	with	4-CRF	54.488
fin	11	500	with	3-CRF	54.916000000000004
fin	12	500	with	Morfessor	19.254
fin	12	500	with	Seq2seq	42.22
fin	12	500	with	0-CRF	46.288000000000004
fin	12	500	with	1-CRF	56.712
fin	12	500	with	2-CRF	57.495999999999995
fin	12	500	with	3-CRF	57.624
fin	12	500	with	4-CRF	58.136
fin	13	500	with	Morfessor	17.478
fin	13	500	with	Seq2seq	40.332
fin	13	500	with	0-CRF	40.428
fin	13	500	with	1-CRF	54.943999999999996
fin	13	500	with	2-CRF	55.806
fin	13	500	with	4-CRF	56.62
fin	13	500	with	3-CRF	57.348
fin	14	500	with	Morfessor	18.508
fin	14	500	with	0-CRF	42.238
fin	14	500	with	Seq2seq	42.974
fin	14	500	with	1-CRF	53.592
fin	14	500	with	2-CRF	55.134
fin	14	500	with	4-CRF	56.73
fin	14	500	with	3-CRF	57.556
fin	15	500	with	Morfessor	18.85
fin	15	500	with	0-CRF	42.278
fin	15	500	with	Seq2seq	43.216
fin	15	500	with	1-CRF	55.424
fin	15	500	with	2-CRF	56.792
fin	15	500	with	4-CRF	57.67
fin	15	500	with	3-CRF	58.638000000000005
fin	16	500	with	Morfessor	15.528
fin	16	500	with	Seq2seq	34.704
fin	16	500	with	0-CRF	41.13
fin	16	500	with	1-CRF	55.705999999999996
fin	16	500	with	2-CRF	56.824
fin	16	500	with	3-CRF	57.047999999999995
fin	16	500	with	4-CRF	58.152
fin	17	500	with	Morfessor	18.042
fin	17	500	with	0-CRF	39.584
fin	17	500	with	Seq2seq	46.802
fin	17	500	with	1-CRF	52.82
fin	17	500	with	2-CRF	54.257999999999996
fin	17	500	with	3-CRF	55.83
fin	17	500	with	4-CRF	56.392
fin	18	500	with	Morfessor	16.33
fin	18	500	with	Seq2seq	40.68
fin	18	500	with	0-CRF	41.864000000000004
fin	18	500	with	1-CRF	54.454
fin	18	500	with	2-CRF	55.583999999999996
fin	18	500	with	4-CRF	56.364000000000004
fin	18	500	with	3-CRF	56.714
fin	19	500	with	Morfessor	17.477999999999998
fin	19	500	with	Seq2seq	32.94
fin	19	500	with	0-CRF	40.846
fin	19	500	with	1-CRF	55.044000000000004
fin	19	500	with	2-CRF	56.864000000000004
fin	19	500	with	3-CRF	58.45
fin	19	500	with	4-CRF	58.694
fin	20	500	with	Morfessor	19.288
fin	20	500	with	0-CRF	41.894
fin	20	500	with	Seq2seq	45.418
fin	20	500	with	1-CRF	55.67
fin	20	500	with	3-CRF	57.476
fin	20	500	with	4-CRF	57.586
fin	20	500	with	2-CRF	57.722
fin	21	500	with	Morfessor	17.808
fin	21	500	with	Seq2seq	38.36
fin	21	500	with	0-CRF	39.89
fin	21	500	with	1-CRF	54.262
fin	21	500	with	2-CRF	55.906
fin	21	500	with	4-CRF	56.302
fin	21	500	with	3-CRF	56.726
fin	22	500	with	Morfessor	19.016
fin	22	500	with	Seq2seq	37.332
fin	22	500	with	0-CRF	43.344
fin	22	500	with	1-CRF	55.948
fin	22	500	with	4-CRF	56.338
fin	22	500	with	2-CRF	56.958
fin	22	500	with	3-CRF	57.18
fin	23	500	with	Morfessor	16.990000000000002
fin	23	500	with	0-CRF	39.136
fin	23	500	with	Seq2seq	43.44
fin	23	500	with	1-CRF	53.583999999999996
fin	23	500	with	2-CRF	54.806
fin	23	500	with	3-CRF	56.964
fin	23	500	with	4-CRF	57.74
fin	24	500	with	Morfessor	17.152
fin	24	500	with	Seq2seq	35.602
fin	24	500	with	0-CRF	39.19
